song,artist
Trampoline,Shaed
Bad Guy,Billie Eilish
Everything I Wanted,Billie Eilish
Gloria,The Lumineers
Doin' Time,Lana Del Rey
Bury a Friend,Billie Eilish
3 Nights,Dominic Fike
Ready To Let Go,Cage the Elephant
Cringe,Matt Maeson
Chlorine,twenty one pilots
Lo/Hi,The Black Keys
100 Bad Days,AJR
Orphans,Coldplay
Bad Liar,Imagine Dragons
Missed Connection,The Head and the Heart
Alligator,Of Monsters and Men
Blue on Black,Five Finger Death Punch
Social Cues,Cage the Elephant
Harmony Hall,Vampire Weekend
The Hype,twenty one pilots
Go,The Black Keys
16,Highly Suspect
Dissolve,Absofacto
When Am I Gonna Lose You,Local Natives
I Think I'm OKAY,Machine Gun Kelly featuring YUNGBLUD & Travis Barker
Superposition,Young The Giant
Good Things Fall Apart,Illenium featuring Jon Bellion
Longshot,Catfish and The Bottlemen
Hurt,Oliver Tree
Father Of All..., Green Day
11 Minutes,YUNGBLUD and Halsey featuring Travis Barker
Happier,Marshmello featuring Bastille
Under Your Scars,Godsmack
Unsainted,Slipknot
Joy,Bastille
BLOW,Ed Sheeran With Chris Stapleton & Bruno Mars
Panic Attack,The Glorious Sons
Last Day Under The Sun,Volbeat
Monsters,Shinedown
Remember When,Bad Wolves
99,Barns Courtney
Life In The City,The Lumineers
Beloved,Mumford and Sons
Another One Bites The Dust,Queen
The End Of The Game,Weezer
Love It If We Made It,The 1975
Breaking Down,I Prevail
A Reason To Fight,Disturbed
This Life,Vampire Weekend
 Inside Out,Five Finger Death Punch
Might Be Right,White Reaper
We Are The Champions,Queen
Hurricane,I Prevail
Somebody To Love,Queen
Borderline,Tame Impala
History of Violence,Theory of a Deadman
Home,morgxn featuring Walk The Moon
Radio Ga Ga,Queen
You'll Never Find Me,Korn
Far Away,Breaking Benjamin
We Will Rock You,Queen
Why Did You Run?,Judah and The Lion
Dear Future Self (Hands Up),Fall Out Boy featuring Wyclef Jean
Die to Live,Volbeat
Help Me Stranger,The Raconteurs
Complainer,Cold War Kids
Blame It On My Youth,Blink-182
Under the Graveyard,Ozzy Osbourne
Still Feel,half•alive
Wars,Of Monsters and Men
Northern Lights,Death Cab For Cutie
Outnumbered,Dermot Kennedy
Running Up That Hill,Meg Myers
Don't Stop Me Now,Queen
Worst Nites,Foster The People
No More,Disturbed
You're Somebody Else,flora cash
Van Horn,Saint Motel
Thunder,Shaed
Forgive Me Friend,Smith and Thell featuring Swedish Jam Factory
Saw Lightning,Beck
Almost (Sweet Music),Hozier
When I'm Gone,Dirty Honey
You Had Your Soul with You,The National
Come Around,Papa Roach
Blind Leading The Blind,Mumford and Sons
Exits,Foals
The Jester,Badflower
Level Of Concern,twenty one pilots
Bang!,AJR
Mood,24kGoldn featuring iann Dior
Hallucinogenics,Matt Maeson
Come & Go,Juice WRLD featuring Marshmello
Monsters,All Time Low featuring blackbear
If You're Too Shy (Let Me Know),The 1975
Lost In Yesterday,Tame Impala
Oh Yeah!,Green Day
Caution,The Killers
Death Bed,Powfu featuring beabadoobee
Bloody Valentine,Machine Gun Kelly
Honeybee,The Head and the Heart
Novocaine,The Unlikely Candidates
Hero,Weezer
Are You Bored Yet?,Wallows featuring Clairo
Bad Decisions,The Strokes
Cardigan,Taylor Swift
Black Madonna,Cage The Elephant
Shame Shame,Foo Fighters
everything i wanted,Billie Eilish
Cradles,Sub Urban
Popular Monster,Falling in Reverse
Supalonely,BENEE featuring Gus Dapperton
Can I Call You Tonight?,Dayglow
My Future,Billie Eilish
Your Love (Déjà Vu),Glass Animals
Moral Of The Story,Ashe
My Ex's Best Friend,Machine Gun Kelly featuring blackbear
Unforgettable,Godsmack
Heat Waves,Glass Animals
Sober,Bad Wolves
My Own Soul's Warning,The Killers
Deleter,Grouplove
A Little Bit Off,Five Finger Death Punch
Mariposa,Peach Tree Rascals
Dance Monkey,Tones and I
Used To Like,Neon Trees
Dance Of The Clairvoyants,Pearl Jam
Exile,Taylor Swift featuring Bon Iver
The Adults Are Talking,The Strokes
Atlas Falls,Shinedown
loneliness for love,lovelytheband
City Of Angels,24kGoldn
Shine A Little Light,The Black Keys
Me & You Together Song,The 1975
The Best,AWOLNATION
High Low,The Unlikely Candidates
Dreams,Fleetwood Mac
Living the Dream,Five Finger Death Punch
Death by Rock and Roll,The Pretty Reckless
Break My Baby,Kaleo
Hell N Back,Bakar
Uneventful Days,Beck
 Man Of The Year,Juice WRLD
Sofia,Clairo
Can You Hear Me,Korn
Overwhelmed,Royal and The Serpent
My Tears Ricochet,Taylor Swift
I Got You,Michael Franti & Spearhead
August,Taylor Swift
Who’s Gonna Love Me Now,Cold War Kids
I Really Wish I Hated You,Blink-182
Use My Voice,Evanescence
Let Me Down,Oliver Tree
Closer to the Sky,The Glorious Sons
how will i rest in peace if i’m buried by a highway?,KennyHoopla
Patience,Chris Cornell
Hold On to Memories,Disturbed
Oh My My,Blue October
Leave Me Alone,I Don’t Know How But They Found Me
Gimme Love,Joji
The Chain,Evanescence
The Buzz,Pretenders
Come and Go,Juice WRLD featuring Marshmello
Sick And Tired,iann dior featuring Machine Gun Kelly & Travis Barker
Trial By Fire,Saul
Godspeed,Alter Bridge
Mirrorball,Taylor Swift
Circle the Drain,Soccer Mommy
Kings,Clint Lowery
I Just Wanna Shine,Fitz And The Tantrums
Lay Your Head On Me,Major Lazer featuring Marcus Mumford
Another Life,Motionless in White
Seven,Taylor Swift
This Forgotten Town,The Jayhawks
Keep My Name Outta Your Mouth,The Black Keys
Fire For You,Cannons
Angels & Demons,jxdn
This Is Me Trying,Taylor Swift
Waiting On A War,Foo Fighters
Follow You,Imagine Dragons
Darkness Settles In,Five Finger Death Punch
Without You,The Kid Laroi
 Making A Fire,Foo Fighters
All My Favorite Songs,Weezer
We Are Between,Modest Mouse
Therefore I Am,Billie Eilish
my ex’s best friend,Machine Gun Kelly featuring blackbear
Better Without You,Evanescence
Way Less Sad,AJR
Beggin,Måneskin
Serotonin,girl in red
No Son of Mine,Foo Fighters
Saturday,twenty one pilots
Willow,Taylor Swift
Missing Piece,Vance Joy
The Bandit,Kings of Leon
Shy Away,twenty one pilots
A-O-K,Tai Verdes
Wrecked,Imagine Dragons
Find My Way,Paul McCartney
Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert
Higher Power,Coldplay
Happier Than Ever,Billie Eilish
My Universe,Coldplay featuring BTS
Your Power,Billie Eilish
Brutal,Olivia Rodrigo
Bed Head,Manchester Orchestra
Nowhere Generation,Rise Against
Freaks,Surf Curse
NDA,Billie Eilish
estella//,KennyHoopla featuring Travis Barker
I Wanna Be Your Slave,Måneskin
Hypotheticals,Lake Street Dive
La Di Die,Nessa Barrett featuring jxdn
t r a n s p a r e n t s o u l,Willow featuring Travis Barker
Love Race,Machine Gun Kelly featuring Kellin Quinn
Deep End,Fousheé
Violent,carolesdaughter
Solar Power,Lorde
Once In A Lifetime,All Time Low
transparentsoul,Willow featuring Travis Barker
Colors,Black Pumas
Papercuts,Machine Gun Kelly
Let The Bad Times Roll,The Offspring
Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole
Cloud 9,Beach Bunny featuring Tegan and Sara
Can You Handle My Love??,Walk The Moon
Taking Me Back,Jack White
Lost Cause,Billie Eilish
Nobody's Stopping You Now,Lake Street Dive
I Hope Ur Miserable Until Ur Dead,Nessa Barrett
Down,St. Vincent
Champagne Problems,Taylor Swift
Stop Making This Hurt,Bleachers
What You Say,Cold War Kids
You,"benny blanco, Marshmello & Vance Joy"
Colorado,Milky Chance
Time In Disguise,Kings of Leon
Life Goes On,Oliver Tree
Happy Endings,Mike Shinoda featuring iann dior & Upsahl
The Sun Hasn't Left,Modest Mouse
Runaway,AURORA 
Distorted Light Beam,Bastille
Forget Me Too,Machine Gun Kelly & Halsey
Bad Dream,Cannons
Chaise Longue,Wet Leg
I Don’t Wanna Talk (I Just Wanna Dance),Glass Animals
Someone To You,Banners
Dirty,grandson
Paralyzed,Sueco
Sticky,The Maine
Fly Away,Tones And I
Gold Rush,Taylor Swift
1 Last Cigarette,The Band CAMINO
Echoing,Kings of Leon
Tis The Damn Season,Taylor Swift
fake friend,"nothing,nowhere."
Plastic Hearts,Miley Cyrus
Record Player,Daisy The Great featuring AJR
Tolerate It,Taylor Swift
All About You,The Knocks featuring Foster The People
Know That I Know,Lake Street Dive
SugarCrash!,ElyOtto
"I Am Not A Woman, I'm A God",Halsey
Trouble’s Coming,Royal Blood
Hey Ya! (Radio Mix/Club Mix),OutKast
Fallen,Sarah McLachlan
White Flag,Dido
Stacy's Mom,Fountains of Wayne
Crazy in Love,Beyoncé
The Way You Move (feat. Sleepy Brown) [Club Mix],OutKast
Where is the Love,The Black Eyed Peas & Justin Timberlake
On and On,Jack Johnson
Sacred Love,Sting
Life for Rent,Dido
Room on Fire,The Strokes
Bare,Annie Lennox
Speakerboxxx / The Love Below,OutKast
Everything to Everyone,Barenaked Ladies
The Lord of the Rings: The Return of the King,Howard Shore
The Man Comes Around,Johnny Cash
The Very Best of Sting & The Police,Sting & The Police
The Reason,Hoobastank
Let's Get It Started (Spike Mix),The Black Eyed Peas
Yeah (feat. Lil Jon & Ludacris),Usher
Over and Over,Nelly & Tim McGraw
Just Lose It,Eminem
1985,Bowling for Soup
How to Dismantle and Atomic Bomb,U2
Songs About Jane,Maroon 5
Encore (Deluxe Version),Eminem
Spider-Man 2,Various
Good News for People Who Love Bad News,Modest Mouse
Elephunk,The Black Eyed Peas
Garden State,Various
Under My Skin,Avril Lavigne
Contraband,Velvet Revolver
Gold Digger (feat. Jamie Foxx),Kanye West
Feel Good Inc,Gorillaz
My Humps,The Black Eyed Peas
"Sugar, We're Goin Down",Fall Out Boy
Boulevard of Broken Dreams (Live),Green Day
Mr. Brightside,Killers
Don't Pfunk With My Heart,The Black Eyed Peas
X & Y,Coldplay
In Between Dreams,Jack Johnson
Late Registration,Kanye West
Monkey Business,The Black Eyed Peas
Confessions On a Dance Floor,Madonna
Hot Fuss,The Killers
Back to Bedlam,James Blunt
Demon Days,Gorillaz
Bad Day,Daniel Powter
Sexy Back (feat. Timbaland),Justing Timberlake
Promiscuous,Nelly Furtado & Timbaland
How to Save a Life,The Fray
Over My Head (Cable Car),The Fray
Hips Don't Lie (feat. Wyclef Jean),Shakira
Ridin',Chamillionaire & Krayzie Bone
Continuum,John Mayer
Eyes Open,Snow Patrol
FutureSex / LoveSound (Deluxe Edition),Justin Timberlake
Sing-a-Longs and Lullabies for the Film Curious George,Jack Johnson
St. Elsewhere,Gnarls Barkley
Stadium Arcadium,Red Hot Chili Peppers
High School Musical,Various
A Fever You Can't Sweat Out,Panic! At the Disco
The Sweet Escape (feat. Akon),Gwen Stefani
Crank That (Soulja Boy) [Clean],Soulja Boy Tell 'Em
Big Girls Don't Cry (Personal),Fergie
Stronger,Kanye West
Umbrella (feat. Jay-Z),Rihanna
Glamorous,Fergie
The Way I Are (feat. Keri Hilson & D.O.E.),Timbaland
Apologize (feat. OneRepublic),Timbaland
Back to Black,Amy Winehouse
It Won't Be Soon Before Long,Lifehouse
Graduation,Kanye West
Coco,Colbie Caillat
Daughtry,Daughtry
Minutes to Midnight,Linkin Park
Shock Value,Timbaland
High School Musical 2,Various Artists
Life in Cartoon Motion,MIKA
As I Am,Alicia Keys
Viva la Vida,Coldplay
Bleeding Love,Leona Lewis
Disturbia,Rihanna
Hot N Cold,Katy Perry
4 Minutes (feat. Justin Timberlake & Timbaland),Madonna
I'm Yours,Jason Mraz
Low (feat. T-Pain),Flo Rida
So What,P!nk
Whatever You Like,T.I.
Viva la Vida or Death and All His Friends,Coldplay
Juno (Music from the Motion Picture) [Deluxe Edition],Various Artists
Sleep Through the Static,Jack Johson
Rockferry (Deluxe Edition),Duffy
Only by the Night (Deluxe Edition),Kings of Leon
Only by the Night,Kings of Leon
Mamma Mia! (The Movie Soundtrack),Various Artists
Twilight (Original Motion Picture Soundtrack),Various Artists
Fearless,Taylor Swift
Death Magnetic,Metallica
Poker Face,Lady GaGa
Right Round,Flo Rida
Party in the U.S.A.,Miley Cyrus
Just Dance,Lady GaGa Á Colby O'Donis
Whatcha Say,Jason Derulo
Down (feat. Lil Wayne),Jay Sean
The fame,Lady GaGa
The E.N.D. (The Energy Never Dies),The Black Eyed Peas
The Blueprint 3,Jay-Z
Relapse,Eminem
"It's Not Me, It's You",Lily Allen
The Essential Michael Jackson,Michael Jackson
Love the Way You Lie (feat. Rihanna),Eminem
California Gurls,Katy Perry
"Hey, Soul Sister",Train
Airplanes (feat. Hayley Williams of Paramore),B.o.B.
Dynamite,Taio Cruz
OMG (feat. will.i.am),Usher
Just the Way You Are,Bruno Mars
Tik Tok,Ke$ha
Only Girld (In the World),Rihanna
DJ Got Us Fallin' In Love (feat. Pitbull),Usher
Recovery (Deluxe Edition),Eminem
The Fame,Lady GaGa
Sigh No More,Mumford & Sons
Speak Now,Taylor Swift
Animal,Ke$ha
Need You Now,Lady Antebellum
Come Around Sundown,Kings of Leon
Lungs,Florence + the Machine
My Beautiful Dark Twisted Fantasy,Kanye West
Party Rock Anthem (feat. Lauren Bennett & GoonRock),LMGAO
Rolling in the Deep,Adele
Moves Like Jagger,Maroon 5
"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Pitbull
Someone Like You,Adele
Born This Way,Lady GaGa
On the Floor (feat. Pitbull),Jennifer Lopez
We Found Love (feat. Calvin Harris),Rihanna
Sexy and I Know It,LMFAO
Pumped Up Kicks,Foster the People
21,Adele
Mylo Xyloto,Coldplay
Christmas,Michael Bublè
Watch the Throne (Deluxe Version),Jay-Z & Kanye West
Tha Carter IV (Deluxe Edition),Lil Wayne
Doo-Wops & Hooligans,Bruno Mars
Born This Way (Bonus Track Version),Lady GaGa
Loud,Rihanna
Take Care (Deluxe Version),Drake
Call Me Maybe,Carly Rae Jepsen
We Are Young (feat. Janelle Monàe),Fun.
Somebody That I Used to Know (feat. Kimbra),Gotye
Gangnam Style ( 강남스타일),Psy
Payphone (feat. Wiz Khalifa),Maroon 5
Starships,Niki Minaj
Some Nights,Fun.
Whistle,Flo Rida
Wild Ones (feat. Sia),Flo Rida
We Are Never Ever Getting Back Together,Taylor Swift
Babel (Deluxe Edition),Mumford & Sons
Red,Taylor Swift
Up All Night (Deluxe Version),One Direction
Born to Die (Deluxe Version),Lana Del Rey
Take Me Home (Yearbook Edition),One Direction
+,Ed Sheeran
The Truth About Love,P!nk
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis
Blurred Lines (feat. T.I. & Pharrell),Robin Thicke
Just Give Me a Reason (feat. Nate Ruess),P!nk
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis
When I Was Your Man,Bruno Mars
Stay (feat. Mikky Ekko),Rihanna
Roar,Katy Perry
Mirrors,Justin Timberlake
The 20/20 Experience,Justin Timberlake
Beyoncé,Beyoncé
Night Visions,Imagine Dragons
Magna Carta... Holy Grail,JAY Z
Nothing Was the Same,Drake
The Heist (Deluxe Edition),Macklemor & Ryan Lewis
Pitch Perfect (Original Motion Picture Soundtrack),Various Artists
The Marshall Mathers LP2 (Deluxe),Eminem
Random Access Memories,Daft Punk
Happy,Pharrell Williams
All of Me,John Legend
Dark Horse (feat. Juicy J),Katy Perry
Talk Dirty (feat. 2 Chainz),Jason Derulo
Fancy (feat. Charli XCX),Iggy Azalea
Problem (feat. Iggy Azalea),Ariana Grande
All About That Bass,Meghan Trainor
Let It Go,Idina Menzel
Turn Down For What,DJ Snake & Lil Jon
Rude,MAGIC!
Frozen (Original Motion Picture Soundtrack),Various Artists
1989,Taylor Swift
Ghost Stories,Coldplay
In the Lonely Hour (Deluxe Edition),Sam Smith
"Guardians of the Galaxy: Awesome Mix, Vol. 1 (Original Motion Pictgure Soundtrack)",Various Artists
Pure Heroine,Lorde
X (Deluxe Edition),Ed Sheeran
The Outsiders,Eric Church
5 Seconds of Summer (Bonus Track Version),5 Seconds of Summer
Uptown Funk (feat. Bruno Mars),Mark Ronson
Thinking Out Loud,Ed Sheeran
See You Again (feat. Charlie Puth),Wiz Khalifa
Sugar,Maroon 5
Shut Up and Dance,WALK THE MOON
Hello,Adele
Love Me Like You Do,Ellie Goulding
"Honey, I'm Good",Andy Grammer
Earned It (Fifty Shades of Grey),The Weeknd
Trap Queen,Fetty Wap
25,Adele
If You're Reading This It's Too Late,Drake
Fifty Shades of Grey (Original Motion Pictgure Soundtrack),Various Artists
Purpose (Deluxe),Justin Bieber
What a Time To Be Alive,Drake & Future
To Pimp a Butterfly,Kendrick Lamar
Beauty Behind the Madness,The Weeknd
Compton,Dr. Dre
Montevallo,Sam Hunt
One Dance (feat. Wizkid & Kyla),Drake
Can't Stop the Feeling,Justin Timberlake
Work (feat. Drake),Rihanna
My House,Flo Rida
7 Years,Lukas Graham
Closer (feat. Halsey),The Chainsmokers
Love Yourself,Justin Bieber
Don't Let Me Down (feat. Daya),The Chainsmokers
Panda,Desiigner
Views,Drake
ANTI (Deluxe),Rihanna
Blonde,Frank Ocean
Traveller,Chris Stapleton
Hamilton (Orignal Broadway Cast Recording),Original Broadway Cast of Hamilton
T R A P S O U L,Bryson Tiller
Blurryface,twenty one pilots
Death Of A Bachelor,Panic! At the Disco
Shape of You,Ed Sheeran
Despacito (feat. Justin Bieber) [Remix],Luis Fonsi & Daddy Yankee
That's What I Like,Bruno Mars
HUMBLE.,Kendrick Lamar
Body Like a Back Road,Sam Hunt
Bad and Boujee (feat. Lil Uzi Vert),Migos
24K Magic,Bruno Mars
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled
Congratulations (feat. Quavo),Post Malone
Black Beatles (feat. Gucci Mane),Rae Sremmurd
DAMN.,Kendrick Lamar
reputation,Taylor Swift
÷ (Deluxe),Sheeran
Starboy,The Weeknd
4 Your Eyez Only,J. Cole
Culture,Migos
FUTURE,Future
Moana (Original Motion Picture Soundtrack) [Deluxe Edition],Various Artists
